aasta,langev_ilma_randeta,langev_randega,praegune_tase_ilma_randeta,praegune_tase_randega,stat_amet_ilma_randeta,stat_amet_randega
2026,272.78,275.82,272.78,275.82,272.78,275.82
2027,238.63,244.76,238.63,244.76,238.63,244.76
2028,213.72,223.01,213.81,223.11,213.91,223.21
2029,183.33,195.58,183.84,196.1,184.41,196.69
2030,173.89,188.77,175.19,190.1,176.66,191.62
