stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,rahvaarv_eelmine_aasta,rahvaarv_kokku,naised_15_49,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr
langev,ilma_randeta,langev_ilma_randeta,2035,4515.01,4377.53,885.36,20.62,158.11,-137.49,0.0,1.025
langev,randega,langev_randega,2026,5837.0,5745.77,1178.9,33.94,188.51,-154.57,63.33,1.175
langev,randega,langev_randega,2027,5745.77,5652.04,1160.1,32.25,189.31,-157.06,63.33,1.1583
langev,randega,langev_randega,2028,5652.04,5557.36,1130.94,30.49,188.5,-158.01,63.33,1.1417
langev,randega,langev_randega,2029,5557.36,5462.11,1115.84,29.03,187.61,-158.58,63.33,1.125
langev,randega,langev_randega,2030,5462.11,5364.77,1094.79,28.01,188.69,-160.68,63.33,1.1083
langev,randega,langev_randega,2031,5364.77,5271.42,1073.39,26.79,183.48,-156.69,63.33,1.0917
langev,randega,langev_randega,2032,5271.42,5170.26,1045.43,25.62,190.11,-164.49,63.33,1.075
langev,randega,langev_randega,2033,5170.26,5076.32,1024.58,25.0,182.27,-157.27,63.33,1.0583
langev,randega,langev_randega,2034,5076.32,4980.16,1000.68,23.82,183.31,-159.49,63.33,1.0417
langev,randega,langev_randega,2035,4980.16,4884.33,979.19,23.13,182.29,-159.16,63.33,1.025
